#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 3.000865132000000e-002; 4.924286604000000e-001; 6.871848553000000e-002; 3.347420692000000e-001;-8.453365415000000e-002;-4.775598347000000e-001; 6.358805299000001e-002; 3.356688321000000e-001; 6.956477463000001e-002; 3.346685171000000e-001;-2.602081597000000e-001; 4.677535892000000e-001; 7.679067552000000e-002; 3.295145631000000e-001; 1.926744282000000e-001;-4.221046567000000e-001;-8.574180305000000e-002;-4.771310389000000e-001; 7.420656085000001e-002; 3.301336169000000e-001; 2.965862304000000e-002; 5.055015087000000e-001; 6.910481304000000e-002; 3.312840462000000e-001; 6.473217905000001e-002; 3.342962265000000e-001; 1.937029958000000e-001;-4.227578044000000e-001; 7.267683744000000e-002; 3.315335214000000e-001;-2.711732686000000e-001; 4.506171942000000e-001;
2.000000000000000e+000; 3.002940305000000e-002; 4.924716055000000e-001; 6.874377280000001e-002; 3.347482085000000e-001;-8.452200890000000e-002;-4.775765538000000e-001; 6.358558685000000e-002; 3.356449902000000e-001; 6.954394281000000e-002; 3.347371519000000e-001;-2.601783276000000e-001; 4.677400291000000e-001; 7.673747838000000e-002; 3.294921219000000e-001; 1.925780624000000e-001;-4.221101701000000e-001;-8.573439717000000e-002;-4.771352708000000e-001; 7.419299334000000e-002; 3.301219046000000e-001; 2.965528890000000e-002; 5.054661036000000e-001; 6.908073276000000e-002; 3.312532306000000e-001; 6.472965330000000e-002; 3.342805207000000e-001; 1.936795861000000e-001;-4.227284193000000e-001; 7.263786345999999e-002; 3.315159380000000e-001;-2.711357474000000e-001; 4.506042302000000e-001;
3.000000000000000e+000; 3.001216426000000e-002; 4.924707711000000e-001; 6.884192675000000e-002; 3.347389698000000e-001;-8.452336490000000e-002;-4.775635004000000e-001; 6.348866223999999e-002; 3.356541097000000e-001; 6.956636905999999e-002; 3.347160220000000e-001;-2.602205276000000e-001; 4.677560627000000e-001; 7.671643794000001e-002; 3.295119107000000e-001; 1.926264912000000e-001;-4.221283793000000e-001;-8.574119210000000e-002;-4.771642685000000e-001; 7.422104478000000e-002; 3.301447630000000e-001; 2.968186885000000e-002; 5.054513812000000e-001; 6.912524998000000e-002; 3.312799335000000e-001; 6.477103382000000e-002; 3.342749774000000e-001; 1.936450750000000e-001;-4.227767587000000e-001; 7.261158526000000e-002; 3.315074742000000e-001;-2.711636126000000e-001; 4.505880773000000e-001;
4.000000000000000e+000; 2.997642383000000e-002; 4.924281836000000e-001; 6.877565384000001e-002; 3.347308934000000e-001;-8.451917768000000e-002;-4.775361121000000e-001; 6.356189399999999e-002; 3.356570303000000e-001; 6.968574226000000e-002; 3.347010016000000e-001;-2.601874769000000e-001; 4.677166641000000e-001; 7.664358616000000e-002; 3.295129240000000e-001; 1.926270127000000e-001;-4.220990539000000e-001;-8.578778803000001e-002;-4.771311879000000e-001; 7.423358411000000e-002; 3.300957084000000e-001; 2.967142127000000e-002; 5.054662824000000e-001; 6.903222203000001e-002; 3.312557340000000e-001; 6.478174775999999e-002; 3.342391551000000e-001; 1.936748028000000e-001;-4.227146208000000e-001; 7.262017578000000e-002; 3.315477073000000e-001;-2.711756229000000e-001; 4.505508244000000e-001;
5.000000000000000e+000; 2.999164350000000e-002; 4.924130738000000e-001; 6.876318157000000e-002; 3.347631097000000e-001;-8.452361822000000e-002;-4.775901437000000e-001; 6.355506927000000e-002; 3.356455266000000e-001; 6.964404881000000e-002; 3.346740901000000e-001;-2.602430284000000e-001; 4.677301347000000e-001; 7.675601542000000e-002; 3.295016289000000e-001; 1.926466376000000e-001;-4.221147299000000e-001;-8.574517816000001e-002;-4.771441817000000e-001; 7.416425644999999e-002; 3.301197886000000e-001; 2.964506485000000e-002; 5.054707527000000e-001; 6.909640133000000e-002; 3.312674165000000e-001; 6.479693204000001e-002; 3.342525959000000e-001; 1.937102526000000e-001;-4.226669669000000e-001; 7.265026867000000e-002; 3.315722942000000e-001;-2.711574733000000e-001; 4.505900145000000e-001;
6.000000000000000e+000; 3.001962975000000e-002; 4.924305081000000e-001; 6.880914420000001e-002; 3.347578049000000e-001;-8.452273905000000e-002;-4.775981903000000e-001; 6.354054064000000e-002; 3.356752396000000e-001; 6.952084601000000e-002; 3.347012103000000e-001;-2.602132261000000e-001; 4.677213728000000e-001; 7.678717375000001e-002; 3.294918537000000e-001; 1.925704628000000e-001;-4.221318662000000e-001;-8.573684841000000e-002;-4.771685898000000e-001; 7.418821007000000e-002; 3.301409185000000e-001; 2.969511598000000e-002; 5.054804683000000e-001; 6.907834113000000e-002; 3.312740028000000e-001; 6.473722309000000e-002; 3.343071342000000e-001; 1.936725825000000e-001;-4.227583706000000e-001; 7.263926417000000e-002; 3.315188289000000e-001;-2.711693645000000e-001; 4.506061673000000e-001;
7.000000000000000e+000; 3.000286594000000e-002; 4.924628735000000e-001; 6.885559112000000e-002; 3.347395062000000e-001;-8.453761041000001e-002;-4.776130021000000e-001; 6.352895498000000e-002; 3.356924653000000e-001; 6.958799064000000e-002; 3.347042501000000e-001;-2.602223456000000e-001; 4.677447379000000e-001; 7.672383636000001e-002; 3.295087814000000e-001; 1.926230639000000e-001;-4.221159518000000e-001;-8.569896220999999e-002;-4.771766961000000e-001; 7.423715292999999e-002; 3.301314414000000e-001; 2.964403294000000e-002; 5.054792762000000e-001; 6.908184290000000e-002; 3.312569857000000e-001; 6.473345309000000e-002; 3.343294561000000e-001; 1.936371028000000e-001;-4.227973521000000e-001; 7.261863351000000e-002; 3.315375447000000e-001;-2.711571157000000e-001; 4.506509304000000e-001;
8.000000000000000e+000; 3.001090884000000e-002; 4.924655855000000e-001; 6.881063431999999e-002; 3.347994387000000e-001;-8.456343412000000e-002;-4.776830971000000e-001; 6.358061731000000e-002; 3.356471360000000e-001; 6.963250041000001e-002; 3.346662819000000e-001;-2.601876855000000e-001; 4.677468240000000e-001; 7.670528442000001e-002; 3.295580447000000e-001; 1.927126795000000e-001;-4.221342206000000e-001;-8.579605818000000e-002;-4.771523774000000e-001; 7.422785461000001e-002; 3.301205933000000e-001; 2.970606834000000e-002; 5.055229068000000e-001; 6.912698597000000e-002; 3.312506974000000e-001; 6.477490813000000e-002; 3.343225718000000e-001; 1.936798990000000e-001;-4.227586985000000e-001; 7.265009731000000e-002; 3.315438628000000e-001;-2.711651325000000e-001; 4.506356716000000e-001;
9.000000000000000e+000; 3.004146554000000e-002; 4.924479723000000e-001; 6.868659705000001e-002; 3.348081410000000e-001;-8.456823230000000e-002;-4.775943756000000e-001; 6.356416643000000e-002; 3.356727064000000e-001; 6.961152703000000e-002; 3.347097635000000e-001;-2.602312863000000e-001; 4.677508175000000e-001; 7.674676179999999e-002; 3.295037150000000e-001; 1.926582605000000e-001;-4.220985472000000e-001;-8.577448130000000e-002;-4.771714807000000e-001; 7.415913045000000e-002; 3.301677704000000e-001; 2.970778756000000e-002; 5.054622889000000e-001; 6.907491386000000e-002; 3.312747777000000e-001; 6.474804878000000e-002; 3.342775702000000e-001; 1.937503517000000e-001;-4.227364063000000e-001; 7.270178199000001e-002; 3.315287828000000e-001;-2.711650431000000e-001; 4.505754411000000e-001;
1.000000000000000e+001; 2.998568490000000e-002; 4.924760163000000e-001; 6.880731881000000e-002; 3.347614110000000e-001;-8.448359370000000e-002;-4.776289165000000e-001; 6.349653751000001e-002; 3.356389999000000e-001; 6.954476237000000e-002; 3.346915841000000e-001;-2.601905167000000e-001; 4.677464664000000e-001; 7.675927877000000e-002; 3.295272589000000e-001; 1.925589442000000e-001;-4.221597314000000e-001;-8.573298156000000e-002;-4.771985412000000e-001; 7.425446808000000e-002; 3.300970197000000e-001; 2.967652306000000e-002; 5.054880381000000e-001; 6.911987066000000e-002; 3.312629163000000e-001; 6.477025895999999e-002; 3.342996836000000e-001; 1.936375350000000e-001;-4.227629900000000e-001; 7.266645133000001e-002; 3.315219283000000e-001;-2.711384594000000e-001; 4.506616294000000e-001;
