#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 5.920039117000000e-002; 4.815986156000000e-001; 2.387063801000000e-001; 2.434578538000000e-001;-5.418057740000000e-002;-4.873706996000000e-001; 2.341494560000000e-001; 2.473869771000000e-001; 2.406502217000000e-001; 2.417742759000000e-001;-2.287720740000000e-001; 4.527770877000000e-001; 2.438824773000000e-001; 2.341461778000000e-001; 2.220224738000000e-001;-4.338276386000000e-001;-5.727583915000000e-002;-4.886815548000000e-001; 2.414906025000000e-001; 2.362590730000000e-001; 5.923105776000000e-002; 4.909387529000000e-001; 2.372250855000000e-001; 2.404118329000000e-001; 2.362303287000000e-001; 2.439741492000000e-001; 2.226115763000000e-001;-4.359140098000000e-001; 2.413092554000000e-001; 2.380311638000000e-001;-2.409938574000000e-001; 4.384064078000000e-001;
2.000000000000000e+000; 5.920813233000000e-002; 4.815361202000000e-001; 2.387197018000000e-001; 2.434823811000000e-001;-5.430450290000000e-002;-4.874392748000000e-001; 2.341710925000000e-001; 2.473710179000000e-001; 2.407435477000000e-001; 2.416479290000000e-001;-2.287923396000000e-001; 4.527918994000000e-001; 2.438307106000000e-001; 2.341905534000000e-001; 2.221145332000000e-001;-4.337685406000000e-001;-5.738984048000000e-002;-4.887047410000000e-001; 2.415034622000000e-001; 2.363074869000000e-001; 5.925571173000000e-002; 4.910193682000000e-001; 2.372245938000000e-001; 2.403958738000000e-001; 2.362584025000000e-001; 2.439407110000000e-001; 2.226561606000000e-001;-4.359578192000000e-001; 2.413317412000000e-001; 2.380616665000000e-001;-2.409933358000000e-001; 4.383800924000000e-001;
3.000000000000000e+000; 5.925498158000000e-002; 4.815559983000000e-001; 2.386541218000000e-001; 2.435145974000000e-001;-5.430283397000000e-002;-4.874491990000000e-001; 2.342191488000000e-001; 2.473117262000000e-001; 2.407942563000000e-001; 2.416133732000000e-001;-2.287783921000000e-001; 4.527771771000000e-001; 2.438390851000000e-001; 2.341770977000000e-001; 2.220693380000000e-001;-4.338242710000000e-001;-5.740670487000000e-002;-4.887062907000000e-001; 2.414649427000000e-001; 2.363784760000000e-001; 5.928535759000000e-002; 4.910361171000000e-001; 2.372446507000000e-001; 2.404060513000000e-001; 2.363176644000000e-001; 2.438980937000000e-001; 2.226968110000000e-001;-4.359076321000000e-001; 2.413334101000000e-001; 2.380561978000000e-001;-2.409669459000000e-001; 4.383677244000000e-001;
4.000000000000000e+000; 5.918722227000000e-002; 4.815434813000000e-001; 2.386378795000000e-001; 2.435305566000000e-001;-5.422092974000000e-002;-4.874274135000000e-001; 2.341556996000000e-001; 2.473620176000000e-001; 2.406770289000000e-001; 2.416938841000000e-001;-2.287577242000000e-001; 4.527359009000000e-001; 2.438834608000000e-001; 2.341118902000000e-001; 2.220200896000000e-001;-4.338077903000000e-001;-5.738691241000000e-002;-4.887042940000000e-001; 2.414349467000000e-001; 2.363314033000000e-001; 5.924676359000000e-002; 4.910048544000000e-001; 2.372350097000000e-001; 2.403706312000000e-001; 2.362503111000000e-001; 2.439342886000000e-001; 2.226586193000000e-001;-4.359102249000000e-001; 2.413062304000000e-001; 2.380093783000000e-001;-2.409843951000000e-001; 4.383701086000000e-001;
5.000000000000000e+000; 5.925127864000000e-002; 4.815423489000000e-001; 2.386512458000000e-001; 2.434321344000000e-001;-5.433803797000000e-002;-4.873962402000000e-001; 2.341863364000000e-001; 2.473545820000000e-001; 2.407038212000000e-001; 2.417020351000000e-001;-2.287916690000000e-001; 4.527521133000000e-001; 2.439242452000000e-001; 2.341358960000000e-001; 2.219817638000000e-001;-4.338352382000000e-001;-5.735018104000000e-002;-4.886866510000000e-001; 2.414806485000000e-001; 2.362917364000000e-001; 5.931245536000000e-002; 4.909990132000000e-001; 2.372258306000000e-001; 2.403658330000000e-001; 2.362592220000000e-001; 2.439177036000000e-001; 2.226656824000000e-001;-4.359209239000000e-001; 2.413494140000000e-001; 2.380071431000000e-001;-2.409527153000000e-001; 4.384085238000000e-001;
6.000000000000000e+000; 5.914510041000000e-002; 4.815278053000000e-001; 2.386954129000000e-001; 2.434436828000000e-001;-5.435148627000000e-002;-4.874515533000000e-001; 2.342065871000000e-001; 2.473821938000000e-001; 2.407073975000000e-001; 2.416340411000000e-001;-2.288016528000000e-001; 4.527400434000000e-001; 2.438336164000000e-001; 2.342110872000000e-001; 2.220523953000000e-001;-4.337829947000000e-001;-5.735225976000000e-002;-4.886771142000000e-001; 2.415246964000000e-001; 2.363242507000000e-001; 5.926750228000000e-002; 4.910435975000000e-001; 2.372083813000000e-001; 2.403920144000000e-001; 2.362464070000000e-001; 2.439308912000000e-001; 2.226630598000000e-001;-4.359415770000000e-001; 2.413462698000000e-001; 2.380786091000000e-001;-2.409829497000000e-001; 4.383738637000000e-001;
7.000000000000000e+000; 5.916820467000000e-002; 4.816261232000000e-001; 2.386280000000000e-001; 2.435157448000000e-001;-5.429026112000000e-002;-4.874463081000000e-001; 2.341840118000000e-001; 2.473520190000000e-001; 2.407425940000000e-001; 2.416725457000000e-001;-2.288106829000000e-001; 4.527841806000000e-001; 2.438488752000000e-001; 2.341678888000000e-001; 2.220851630000000e-001;-4.337985516000000e-001;-5.736526102000000e-002;-4.886989594000000e-001; 2.414464802000000e-001; 2.363703549000000e-001; 5.926446617000000e-002; 4.910098612000000e-001; 2.372548431000000e-001; 2.403886765000000e-001; 2.362892330000000e-001; 2.439417839000000e-001; 2.227082849000000e-001;-4.358954132000000e-001; 2.413599342000000e-001; 2.380482852000000e-001;-2.410017401000000e-001; 4.383748174000000e-001;
8.000000000000000e+000; 5.913987011000000e-002; 4.815124571000000e-001; 2.385956049000000e-001; 2.435343862000000e-001;-5.426891893000000e-002;-4.873983562000000e-001; 2.342274338000000e-001; 2.473490238000000e-001; 2.406862676000000e-001; 2.417705655000000e-001;-2.287610024000000e-001; 4.527727664000000e-001; 2.439218462000000e-001; 2.340694219000000e-001; 2.220396101000000e-001;-4.337716699000000e-001;-5.730370805000000e-002;-4.886628091000000e-001; 2.414717972000000e-001; 2.363595366000000e-001; 5.929270014000000e-002; 4.909865260000000e-001; 2.372388095000000e-001; 2.403583080000000e-001; 2.362155616000000e-001; 2.439552397000000e-001; 2.227165550000000e-001;-4.359266460000000e-001; 2.413369715000000e-001; 2.380009890000000e-001;-2.410095781000000e-001; 4.383812845000000e-001;
9.000000000000000e+000; 5.921784043000000e-002; 4.815505445000000e-001; 2.387303412000000e-001; 2.434411645000000e-001;-5.422111973000000e-002;-4.873946011000000e-001; 2.341832221000000e-001; 2.473955005000000e-001; 2.406677604000000e-001; 2.417119592000000e-001;-2.287694812000000e-001; 4.527538717000000e-001; 2.438777238000000e-001; 2.341467291000000e-001; 2.220321596000000e-001;-4.338026047000000e-001;-5.733507127000000e-002;-4.886648655000000e-001; 2.414743900000000e-001; 2.363018692000000e-001; 5.930826813000000e-002; 4.909804165000000e-001; 2.372325957000000e-001; 2.403871268000000e-001; 2.362536788000000e-001; 2.440059036000000e-001; 2.226525396000000e-001;-4.359655380000000e-001; 2.413087189000000e-001; 2.380181700000000e-001;-2.409883589000000e-001; 4.383991957000000e-001;
1.000000000000000e+001; 5.921191722000000e-002; 4.815597832000000e-001; 2.386779487000000e-001; 2.434114963000000e-001;-5.432957038000000e-002;-4.874240756000000e-001; 2.341795564000000e-001; 2.473962009000000e-001; 2.407710552000000e-001; 2.416601032000000e-001;-2.287412286000000e-001; 4.527381659000000e-001; 2.438058108000000e-001; 2.341827005000000e-001; 2.220854312000000e-001;-4.337909818000000e-001;-5.736890063000000e-002;-4.886856675000000e-001; 2.415038794000000e-001; 2.363069803000000e-001; 5.929607153000000e-002; 4.909724891000000e-001; 2.372323573000000e-001; 2.403739244000000e-001; 2.362691760000000e-001; 2.439055145000000e-001; 2.226388454000000e-001;-4.359526038000000e-001; 2.413260639000000e-001; 2.380710989000000e-001;-2.410277575000000e-001; 4.383546710000000e-001;
