#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 6.326013803000000e-002; 4.701536000000000e-001; 3.246357143000000e-001;-9.320262820000000e-002;-7.014370709999999e-002;-4.966177046000000e-001; 3.258484602000000e-001;-8.752493560000001e-002; 3.240699470000000e-001;-9.610496461000000e-002;-2.313354164000000e-001; 4.411987066000000e-001; 3.191888928000000e-001;-1.019904763000000e-001; 2.007726431000000e-001;-4.561714828000000e-001;-7.587272673999999e-002;-4.973007143000000e-001; 3.198966980000000e-001;-9.883424640000001e-002; 6.627303362000001e-002; 4.799657464000000e-001; 3.214719892000000e-001;-9.330945462000000e-002; 3.240295053000000e-001;-9.059538692000001e-002; 1.997516453000000e-001;-4.579535127000000e-001; 3.213838041000000e-001;-9.789556265000000e-002;-2.417781204000000e-001; 4.270234704000000e-001;
2.000000000000000e+000; 6.327728182000000e-002; 4.701064825000000e-001; 3.245625496000000e-001;-9.323149174000001e-002;-7.014971972000000e-002;-4.966531992000000e-001; 3.259262443000000e-001;-8.748786151000000e-002; 3.240476251000000e-001;-9.610386193000001e-002;-2.312694788000000e-001; 4.411935210000000e-001; 3.192705512000000e-001;-1.019637436000000e-001; 2.007222176000000e-001;-4.561736286000000e-001;-7.591872662000000e-002;-4.973027408000000e-001; 3.199339509000000e-001;-9.891004115000000e-002; 6.627238542000000e-002; 4.799783528000000e-001; 3.214546740000000e-001;-9.324045479000000e-002; 3.239586055000000e-001;-9.059988707000000e-002; 1.997332424000000e-001;-4.580129683000000e-001; 3.214001954000000e-001;-9.786644578000001e-002;-2.418299615000000e-001; 4.270114899000000e-001;
3.000000000000000e+000; 6.324578822000000e-002; 4.701049030000000e-001; 3.246091306000000e-001;-9.312307835000000e-002;-7.014973462000000e-002;-4.966104925000000e-001; 3.258741796000000e-001;-8.758697659000000e-002; 3.240410686000000e-001;-9.618953615000001e-002;-2.312575281000000e-001; 4.411854446000000e-001; 3.192231655000000e-001;-1.019521356000000e-001; 2.008594871000000e-001;-4.561524689000000e-001;-7.594554871000001e-002;-4.972959161000000e-001; 3.198876679000000e-001;-9.883242100000000e-002; 6.623692811000000e-002; 4.799318910000000e-001; 3.214924932000000e-001;-9.329389781000000e-002; 3.239883482000000e-001;-9.061767906000000e-002; 1.998009533000000e-001;-4.579424262000000e-001; 3.213944137000000e-001;-9.788127989000001e-002;-2.418393195000000e-001; 4.269894660000000e-001;
4.000000000000000e+000; 6.330841780000000e-002; 4.701294899000000e-001; 3.246561289000000e-001;-9.303800017000000e-002;-7.014596462000000e-002;-4.965840280000000e-001; 3.258196414000000e-001;-8.758235723000001e-002; 3.240494728000000e-001;-9.607380628999999e-002;-2.312951088000000e-001; 4.412010312000000e-001; 3.191902041000000e-001;-1.020870283000000e-001; 2.008117735000000e-001;-4.561240375000000e-001;-7.590937614000000e-002;-4.972439706000000e-001; 3.199004233000000e-001;-9.879571944000000e-002; 6.627428532000000e-002; 4.799546301000000e-001; 3.214623332000000e-001;-9.332119673000000e-002; 3.240258694000000e-001;-9.058432281000001e-002; 1.998320073000000e-001;-4.579580724000000e-001; 3.213622570000000e-001;-9.790757298000000e-002;-2.418318689000000e-001; 4.270098507000000e-001;
5.000000000000000e+000; 6.329938769000000e-002; 4.701138139000000e-001; 3.245846629000000e-001;-9.312732518000000e-002;-7.016078383000000e-002;-4.966081679000000e-001; 3.258327842000000e-001;-8.753120899000000e-002; 3.240768909000000e-001;-9.609984607000000e-002;-2.313069701000000e-001; 4.411902726000000e-001; 3.192107379000000e-001;-1.020273492000000e-001; 2.007563114000000e-001;-4.561323524000000e-001;-7.591388374999999e-002;-4.972748756000000e-001; 3.198789358000000e-001;-9.885615855000000e-002; 6.626121700000000e-002; 4.799789190000000e-001; 3.214429617000000e-001;-9.329288453000000e-002; 3.239981234000000e-001;-9.058765322000000e-002; 1.997684538000000e-001;-4.579371810000000e-001; 3.213595748000000e-001;-9.787440300000000e-002;-2.418497354000000e-001; 4.269946218000000e-001;
6.000000000000000e+000; 6.327765435000000e-002; 4.701482356000000e-001; 3.246374130000000e-001;-9.321543574000001e-002;-7.013546675000000e-002;-4.965715408000000e-001; 3.258297741000000e-001;-8.755072950999999e-002; 3.240282238000000e-001;-9.611389786000001e-002;-2.312635332000000e-001; 4.412024319000000e-001; 3.192780614000000e-001;-1.019520611000000e-001; 2.007862628000000e-001;-4.561305940000000e-001;-7.595624775000000e-002;-4.973052144000000e-001; 3.199002445000000e-001;-9.883207082999999e-002; 6.627389789000000e-002; 4.799653888000000e-001; 3.214663565000000e-001;-9.326910228000000e-002; 3.239855468000000e-001;-9.052705020000000e-002; 1.997524500000000e-001;-4.579987824000000e-001; 3.214133978000000e-001;-9.786086529000000e-002;-2.418294698000000e-001; 4.269537926000000e-001;
7.000000000000000e+000; 6.327117234000000e-002; 4.701214135000000e-001; 3.245909810000000e-001;-9.313140809999999e-002;-7.013350725000001e-002;-4.965679049000000e-001; 3.258126378000000e-001;-8.754260093000001e-002; 3.240109980000000e-001;-9.621290863000000e-002;-2.312956899000000e-001; 4.412064254000000e-001; 3.192025423000000e-001;-1.019012183000000e-001; 2.008079588000000e-001;-4.560816288000000e-001;-7.598068565000000e-002;-4.972541332000000e-001; 3.199064136000000e-001;-9.882555902000000e-002; 6.623934209000000e-002; 4.799239337000000e-001; 3.214866519000000e-001;-9.328743815000000e-002; 3.239597976000000e-001;-9.068055451000000e-002; 1.998200566000000e-001;-4.579273760000000e-001; 3.213996887000000e-001;-9.784639627000000e-002;-2.418577820000000e-001; 4.269624949000000e-001;
8.000000000000000e+000; 6.326997280000000e-002; 4.701564610000000e-001; 3.246253729000000e-001;-9.308447689000000e-002;-7.015303522000001e-002;-4.966008365000000e-001; 3.258541822000000e-001;-8.764841408000000e-002; 3.240553737000000e-001;-9.611678123000000e-002;-2.312988490000000e-001; 4.411884546000000e-001; 3.192185163000000e-001;-1.019838229000000e-001; 2.008136809000000e-001;-4.561466575000000e-001;-7.590721548000000e-002;-4.972984493000000e-001; 3.199256659000000e-001;-9.881009161000000e-002; 6.625228375000000e-002; 4.799365401000000e-001; 3.214463592000000e-001;-9.330356121000000e-002; 3.240151703000000e-001;-9.060289711000000e-002; 1.998130977000000e-001;-4.579389691000000e-001; 3.213923872000000e-001;-9.785537422000000e-002;-2.418271452000000e-001; 4.269703627000000e-001;
9.000000000000000e+000; 6.327568740000000e-002; 4.701514542000000e-001; 3.245795369000000e-001;-9.318676591000000e-002;-7.014330477000000e-002;-4.965723157000000e-001; 3.258738518000000e-001;-8.749935775999999e-002; 3.240850568000000e-001;-9.603821486000000e-002;-2.312844992000000e-001; 4.411909878000000e-001; 3.192180097000000e-001;-1.019971222000000e-001; 2.007562369000000e-001;-4.561378956000000e-001;-7.584698498000000e-002;-4.973149896000000e-001; 3.198913634000000e-001;-9.889273345000001e-002; 6.624801457000000e-002; 4.799024463000000e-001; 3.214499056000000e-001;-9.327166528000000e-002; 3.240199983000000e-001;-9.055478126000000e-002; 1.997549683000000e-001;-4.579431713000000e-001; 3.213739693000000e-001;-9.788306057000000e-002;-2.418154180000000e-001; 4.269804358000000e-001;
1.000000000000000e+001; 6.326667219000000e-002; 4.701816738000000e-001; 3.245804310000000e-001;-9.329079092000001e-002;-7.013094424999999e-002;-4.965977967000000e-001; 3.258411586000000e-001;-8.752229810000001e-002; 3.240965605000000e-001;-9.609526396000000e-002;-2.312589437000000e-001; 4.411946237000000e-001; 3.192387223000000e-001;-1.019740850000000e-001; 2.007662803000000e-001;-4.561217427000000e-001;-7.593534887000000e-002;-4.973389804000000e-001; 3.198993802000000e-001;-9.892202914000001e-002; 6.629087031000000e-002; 4.799408615000000e-001; 3.214578032000000e-001;-9.327732027000001e-002; 3.240146041000000e-001;-9.054812789000000e-002; 1.996795535000000e-001;-4.580024183000000e-001; 3.213995397000000e-001;-9.790004790000000e-002;-2.418105155000000e-001; 4.269799590000000e-001;
